age,qx,lx,dx,Dx,Nx,Sx,Cx,Mx,Rx,first ax,ax,ax (n year gtee)
10,0.00117,897001,1049.49117,415485.022,5490449.375,70971128.31,450.1087738,8785.068261,233328.759,13.21455428,12.75622095,12.71455428
11,0.00117,895951.5088,1048.263265,384258.2449,5074964.353,65480678.94,416.2797653,8334.959488,224543.6907,13.20717101,12.74883768,12.70717101
12,0.00117,894903.2456,1047.036797,355378.3915,4690706.109,60405714.58,384.9932574,7918.679722,216208.7312,13.19918774,12.74085441,12.69918774
13,0.00117,893856.2088,1045.811764,328669.0729,4335327.717,55715008.47,356.0581623,7533.686465,208290.0515,13.19055571,12.73222238,12.69055571
14,0.00117,892810.397,1044.588164,303967.1575,4006658.644,51379680.76,329.297754,7177.628302,200756.365,13.1812222,12.72288887,12.6812222
15,0.00117,891765.8088,1043.365996,281121.774,3702691.487,47373022.11,304.5485885,6848.330548,193578.7367,13.1711302,12.71279686,12.6711302
16,0.00117,890722.4428,1042.145258,259993.3903,3421569.713,43670330.63,281.6595062,6543.78196,186730.4062,13.16021807,12.70188473,12.66021807
17,0.00117,889680.2976,1040.925948,240452.9611,3161576.322,40248760.91,260.4907079,6262.122454,180186.6242,13.14841916,12.69008583,12.64841916
18,0.00117,888639.3716,1039.708065,222381.14,2921123.361,37087184.59,240.9129017,6001.631746,173924.5018,13.13566142,12.67732809,12.63566142
19,0.00117,887599.6636,1038.491606,205667.55,2698742.221,34166061.23,222.8065126,5760.718844,167922.87,13.12186692,12.66353359,12.62186692
20,0.00117,886561.172,1037.276571,190210.1102,2493074.671,31467319.01,206.0609527,5537.912332,162162.1512,13.1069514,12.64861807,12.6069514
21,0.00118,885523.8954,1044.918197,175914.4115,2302864.561,28974244.34,192.2027829,5331.851379,156624.2388,13.09082378,12.63249045,12.59082378
22,0.00119,884478.9772,1052.529983,162691.5115,2126950.149,26671379.78,179.2619433,5139.648596,151292.3875,13.07351643,12.6151831,12.57351643
23,0.0012,883426.4472,1060.111737,150461.0265,1964258.638,24544429.63,167.1789183,4960.386653,146152.7389,13.05493312,12.59659978,12.55493312
24,0.00121,882366.3355,1067.663266,139148.5864,1813797.611,22580170.99,155.8979532,4793.207734,141192.3522,13.03496973,12.5766364,12.53496973
25,0.00123,881298.6722,1083.997367,128685.3857,1674649.025,20766373.38,146.558356,4637.309781,136399.1445,13.01351366,12.55518033,12.51351366
26,0.00124,880214.6748,1091.466197,119006.5766,1545963.639,19091724.35,136.6371805,4490.751425,131761.8347,12.99057316,12.53223983,12.49057316
27,0.00126,879123.2086,1107.695243,110054.6374,1426957.063,17545760.71,128.397077,4354.114245,127271.0833,12.96589672,12.50756339,12.46589672
28,0.00128,878015.5134,1123.859857,101774.045,1316902.425,16118803.65,120.6210903,4225.717168,122916.969,12.9394722,12.48113886,12.4394722
29,0.0013,876891.6535,1139.95915,94114.60574,1215128.38,14801901.23,113.2860995,4105.096077,118691.2519,12.91115625,12.45282292,12.41115625
30,0.00132,875751.6944,1155.992237,87029.86737,1121013.775,13586772.85,106.3698379,3991.809978,114586.1558,12.88079378,12.42246045,12.38079378
31,0.00135,874595.7022,1180.704198,80476.84069,1033983.907,12465759.07,100.5960509,3885.44014,110594.3458,12.84821693,12.3898836,12.34821693
32,0.00138,873414.998,1205.312697,74414.99718,953507.0666,11431775.16,95.08582973,3784.844089,106708.9057,12.81337234,12.35503901,12.31337234
33,0.00142,872209.6853,1238.537753,68807.68933,879092.0694,10478268.1,90.46936931,3689.758259,102924.0616,12.77607311,12.31773978,12.27607311
34,0.00147,870971.1475,1280.327587,63620.35409,810284.3801,9599176.028,86.59437084,3599.28889,99234.30331,12.73624443,12.27791109,12.23624443
35,0.00153,869690.8199,1330.626954,58821.1409,746664.026,8788891.648,83.3299496,3512.694519,95635.01442,12.69380387,12.23547054,12.19380387
36,0.00158,868360.193,1372.009105,54380.6894,687842.8851,8042227.622,79.55693449,3429.36457,92122.3199,12.64866063,12.1903273,12.14866063
37,0.00165,866988.1839,1430.530503,50272.93325,633462.1957,7354384.737,76.80587024,3349.807635,88692.95533,12.60046221,12.14212888,12.10046221
38,0.00173,865557.6534,1497.41474,46472.2064,583189.2624,6720922.541,74.44158988,3273.001765,85343.14769,12.54920538,12.09087204,12.04920538
