age,qx,lx,dx,Dx,Nx,Sx,Cx,Mx,Rx,first ax,ax,ax (n year gtee)
10,0.00118,897001,1058.46118,415485.022,5475617.051,70145282.69,453.9558574,9883.758979,279670.1849,13.17885546,12.72052213,12.67885546
11,0.00118,895942.5388,1057.212196,384254.3979,5060132.029,64669665.64,419.8335088,9429.803122,269786.4259,13.16870297,12.71036963,12.66870297
12,0.00118,894885.3266,1055.964685,355371.2756,4675877.631,59609533.61,388.2760234,9009.969613,260356.6228,13.15772532,12.69939199,12.65772532
13,0.00118,893829.3619,1054.718647,328659.2014,4320506.355,54933655.98,359.0906089,8621.69359,251346.6532,13.14585545,12.68752212,12.64585545
14,0.00118,892774.6433,1053.474079,303954.9848,3991847.154,50613149.62,332.0989648,8262.602981,242724.9596,13.13302086,12.67468752,12.63302086
15,0.00118,891721.1692,1052.23098,281107.7017,3687892.169,46621302.47,307.1361926,7930.504016,234462.3566,13.11914311,12.66080978,12.61914311
16,0.00118,890668.9382,1050.989347,259977.7728,3406784.467,42933410.3,284.0497888,7623.367823,226531.8526,13.10413744,12.64580411,12.60413744
17,0.00118,889617.9489,1049.74918,240436.1102,3146806.695,39526625.83,262.698713,7339.318034,218908.4848,13.08791218,12.62957884,12.58791218
18,0.00118,888568.1997,1048.510476,222363.3293,2906370.584,36379819.14,242.9525264,7076.619321,211569.1667,13.07036818,12.61203485,12.57036818
19,0.00118,887519.6892,1047.273233,205649.019,2684007.255,33473448.55,224.6905949,6833.666795,204492.5474,13.05139829,12.59306496,12.55139829
20,0,886472.416,1046.037451,190191.0678,2478358.236,30789441.3,207.8013518,6608.9762,197658.8806,13.0308866,12.57255327,12.5308866
21,0.0012,885426.3785,1062.511654,175895.0392,2288167.168,28311083.06,195.4389324,6401.174848,191049.9044,13.0087078,12.55037447,12.5087078
22,0.00123,884363.8669,1087.767556,162670.3381,2112272.129,26022915.89,185.2634406,6205.735916,184648.7296,12.98498641,12.52665308,12.48498641
23,0,883276.0993,1095.262363,150435.42,1949601.791,23910643.77,172.7221488,6020.472475,178442.9937,12.95972579,12.50139245,12.45972579
24,0.00126,882180.837,1111.547855,139119.3334,1799166.371,21961041.97,162.3058889,5847.750326,172422.5212,12.9325402,12.47420686,12.4325402
25,0.00128,881069.2891,1127.76869,128651.8917,1660047.038,20161875.6,152.4763161,5685.444438,166574.7709,12.9034017,12.44506837,12.4034017
26,0.00129,879941.5204,1135.124561,118969.6456,1531395.146,18501828.57,142.1026323,5532.968121,160889.3264,12.87215019,12.41381685,12.37215019
27,0,878806.3959,1151.236379,110014.9766,1412425.5,16970433.42,133.444092,5390.865489,155356.3583,12.83848385,12.38015051,12.33848385
28,0.00133,877655.1595,1167.281362,101732.275,1302410.524,15558007.92,125.2814128,5257.421397,149965.4928,12.80233361,12.34400028,12.30233361
29,0.00136,876487.8781,1192.023514,94071.26953,1200678.249,14255597.4,118.4601172,5132.139984,144708.0714,12.76349575,12.30516242,12.26349575
30,0.00139,875295.8546,1216.661238,86984.56722,1106606.979,13054919.15,111.9523597,5013.679867,139575.9314,12.72187716,12.26354383,12.22187716
31,0.00143,874079.1934,1249.933247,80429.31359,1019622.412,11948312.17,106.4943689,4901.727508,134562.2516,12.67724871,12.21891538,12.17724871
32,0.00148,872829.2601,1291.787305,74365.09229,939193.0985,10928689.75,101.9077191,4795.233139,129660.5241,12.62948878,12.17115544,12.12948878
33,0.00153,871537.4728,1333.452333,68754.65921,864828.0062,9989496.656,97.40243388,4693.32542,124865.2909,12.57846401,12.12013067,12.07846401
34,0.0016,870204.0205,1392.326433,63564.31906,796073.347,9124668.65,94.16936157,4595.922986,120171.9655,12.5239027,12.06556937,12.0239027
35,0.00168,868811.6941,1459.603646,58761.68162,732509.0279,8328595.303,91.4070603,4501.753624,115576.0425,12.46576013,12.0074268,11.96576013
36,0.00177,867352.0904,1535.2132,54317.5574,673747.3463,7596086.275,89.0204413,4410.346564,111074.2889,12.40385942,11.94552609,11.90385942
37,0.00187,865816.8772,1619.07756,50205.01419,619429.7889,6922338.929,86.92905235,4321.326123,106663.9423,12.33800645,11.87967312,11.83800645
38,0.002,864197.7996,1728.395599,46399.1952,569224.7747,6302909.14,85.92443555,4234.39707,102342.6162,12.2679881,11.80965477,11.7679881
