Salary Structure,Grade Level,Step,GradeLevel/Step,Annual Salary
CONPOSS,1,1,CONPOSS/1/1,121374
CONPOSS,2,1,CONPOSS/2/1,497962
CONPOSS,2,2,CONPOSS/2/2,503605
CONPOSS,2,3,CONPOSS/2/3,509248
CONPOSS,2,4,CONPOSS/2/4,514891
CONPOSS,2,5,CONPOSS/2/5,520534
CONPOSS,2,6,CONPOSS/2/6,526177
CONPOSS,2,7,CONPOSS/2/7,531820
CONPOSS,2,8,CONPOSS/2/8,537463
CONPOSS,2,9,CONPOSS/2/9,543106
CONPOSS,2,10,CONPOSS/2/10,548750
CONPOSS,3,1,CONPOSS/3/1,507170
CONPOSS,3,2,CONPOSS/3/2,514105
CONPOSS,3,3,CONPOSS/3/3,521041
CONPOSS,3,4,CONPOSS/3/4,527977
CONPOSS,3,5,CONPOSS/3/5,534913
CONPOSS,3,6,CONPOSS/3/6,541849
CONPOSS,3,7,CONPOSS/3/7,548785
CONPOSS,3,8,CONPOSS/3/8,555721
CONPOSS,3,9,CONPOSS/3/9,562657
CONPOSS,3,10,CONPOSS/3/10,569593
CONPOSS,4,1,CONPOSS/4/1,523836
CONPOSS,4,2,CONPOSS/4/2,532170
CONPOSS,4,3,CONPOSS/4/3,540503
CONPOSS,4,4,CONPOSS/4/4,548836
CONPOSS,4,5,CONPOSS/4/5,557170
CONPOSS,4,6,CONPOSS/4/6,565503
CONPOSS,4,7,CONPOSS/4/7,573836
CONPOSS,4,8,CONPOSS/4/8,582170
CONPOSS,4,9,CONPOSS/4/9,590897
CONPOSS,4,10,CONPOSS/4/10,599231
CONPOSS,5,1,CONPOSS/5/1,568812
CONPOSS,5,2,CONPOSS/5/2,578744
CONPOSS,5,3,CONPOSS/5/3,588090
CONPOSS,5,4,CONPOSS/5/4,606406
CONPOSS,5,5,CONPOSS/5/5,624723
CONPOSS,5,6,CONPOSS/5/6,643040
CONPOSS,5,7,CONPOSS/5/7,661356
CONPOSS,5,8,CONPOSS/5/8,679673
CONPOSS,5,9,CONPOSS/5/9,697990
CONPOSS,5,10,CONPOSS/5/10,716306
CONPOSS,6,1,CONPOSS/6/1,701881
CONPOSS,6,2,CONPOSS/6/2,723890
CONPOSS,6,3,CONPOSS/6/3,745899
CONPOSS,6,4,CONPOSS/6/4,767909
CONPOSS,6,5,CONPOSS/6/5,789918
CONPOSS,6,6,CONPOSS/6/6,811927
CONPOSS,6,7,CONPOSS/6/7,833937
CONPOSS,6,8,CONPOSS/6/8,855946
CONPOSS,6,9,CONPOSS/6/9,877955
CONPOSS,6,10,CONPOSS/6/10,899965
CONPOSS,7,1,CONPOSS/7/1,985965
CONPOSS,7,2,CONPOSS/7/2,1007031
CONPOSS,7,3,CONPOSS/7/3,1028096
CONPOSS,7,4,CONPOSS/7/4,1049162
CONPOSS,7,5,CONPOSS/7/5,1070228
CONPOSS,7,6,CONPOSS/7/6,1091293
CONPOSS,7,7,CONPOSS/7/7,1121418
CONPOSS,7,8,CONPOSS/7/8,1151543
CONPOSS,7,9,CONPOSS/7/9,1181667
CONPOSS,7,10,CONPOSS/7/10,1211792
CONPOSS,8,1,CONPOSS/8/1,1497387
CONPOSS,8,2,CONPOSS/8/2,1518943
CONPOSS,8,3,CONPOSS/8/3,1540499
CONPOSS,8,4,CONPOSS/8/4,1562055
CONPOSS,8,5,CONPOSS/8/5,1583611
CONPOSS,8,6,CONPOSS/8/6,1605167
CONPOSS,8,7,CONPOSS/8/7,1626723
CONPOSS,8,8,CONPOSS/8/8,1648279
CONPOSS,8,9,CONPOSS/8/9,1669835
CONPOSS,8,10,CONPOSS/8/10,1691391
CONPOSS,9,1,CONPOSS/9/1,1602942
CONPOSS,9,2,CONPOSS/9/2,1628606
CONPOSS,9,3,CONPOSS/9/3,1654271
CONPOSS,9,4,CONPOSS/9/4,1679936
CONPOSS,9,5,CONPOSS/9/5,1705601
CONPOSS,9,6,CONPOSS/9/6,1731265
CONPOSS,9,7,CONPOSS/9/7,1756930
CONPOSS,9,8,CONPOSS/9/8,1782595
CONPOSS,9,9,CONPOSS/9/9,1808259
CONPOSS,9,10,CONPOSS/9/10,1833924
CONPOSS,10,1,CONPOSS/10/1,1744999
CONPOSS,10,2,CONPOSS/10/2,1773222
CONPOSS,10,3,CONPOSS/10/3,1801445
CONPOSS,10,4,CONPOSS/10/4,1847873
CONPOSS,10,5,CONPOSS/10/5,1894866
CONPOSS,10,6,CONPOSS/10/6,1961194
CONPOSS,10,7,CONPOSS/10/7,2009599
CONPOSS,10,8,CONPOSS/10/8,2058567
CONPOSS,10,9,CONPOSS/10/9,2108101
CONPOSS,10,10,CONPOSS/10/10,2138299
CONPOSS,11,1,CONPOSS/11/1,1894514
CONPOSS,11,2,CONPOSS/11/2,1938290
CONPOSS,11,3,CONPOSS/11/3,1982065
CONPOSS,11,4,CONPOSS/11/4,2025840
CONPOSS,11,5,CONPOSS/11/5,2069616
CONPOSS,11,6,CONPOSS/11/6,2113391
CONPOSS,11,7,CONPOSS/11/7,2157166
CONPOSS,11,8,CONPOSS/11/8,2200941
CONPOSS,12,1,CONPOSS/12/1,2018911
CONPOSS,12,2,CONPOSS/12/2,2065193
CONPOSS,12,3,CONPOSS/12/3,2111474
CONPOSS,12,4,CONPOSS/12/4,2157756
CONPOSS,12,5,CONPOSS/12/5,2204038
CONPOSS,12,6,CONPOSS/12/6,2250320
CONPOSS,12,7,CONPOSS/12/7,2296601
CONPOSS,12,8,CONPOSS/12/8,2342883
CONPOSS,13,1,CONPOSS/13/1,2470000
CONPOSS,13,2,CONPOSS/13/2,2527305
CONPOSS,13,3,CONPOSS/13/3,2584610
CONPOSS,13,4,CONPOSS/13/4,2641914
CONPOSS,13,5,CONPOSS/13/5,2699219
CONPOSS,13,6,CONPOSS/13/6,2756524
CONPOSS,13,7,CONPOSS/13/7,2813828
CONPOSS,13,8,CONPOSS/13/8,2871133
CONPOSS,14,1,CONPOSS/14/1,2792903
CONPOSS,14,2,CONPOSS/14/2,2890643
CONPOSS,14,3,CONPOSS/14/3,2989767
CONPOSS,14,4,CONPOSS/14/4,3090275
CONPOSS,14,5,CONPOSS/14/5,3161558
CONPOSS,14,6,CONPOSS/14/6,3264142
CONPOSS,14,7,CONPOSS/14/7,3368111
CONPOSS,15,1,CONPOSS/15/1,3069463
CONPOSS,15,2,CONPOSS/15/2,3152638
CONPOSS,15,3,CONPOSS/15/3,3235813
CONPOSS,15,4,CONPOSS/15/4,3318988
CONPOSS,15,5,CONPOSS/15/5,3402163
CONPOSS,15,6,CONPOSS/15/6,3485338
CONPOSS,16,1,CONPOSS/16/1,6200445
CONPOSS,16,2,CONPOSS/16/2,6342657
CONPOSS,16,3,CONPOSS/16/3,6471156
CONPOSS,16,4,CONPOSS/16/4,6634182
CONPOSS,16,5,CONPOSS/16/5,6780532
CONPOSS,16,6,CONPOSS/16/6,7004039
CONPASS,1,1,CONPASS/1/1,622056
CONPASS,2,1,CONPASS/2/1,1085616
CONPASS,2,2,CONPASS/2/2,1091404
CONPASS,2,3,CONPASS/2/3,1097194
CONPASS,2,4,CONPASS/2/4,1102983
CONPASS,2,5,CONPASS/2/5,1108772
CONPASS,2,6,CONPASS/2/6,1114562
CONPASS,2,7,CONPASS/2/7,1120351
CONPASS,2,8,CONPASS/2/8,1126140
CONPASS,2,9,CONPASS/2/9,1131930
CONPASS,2,10,CONPASS/2/10,1137719
CONPASS,3,1,CONPASS/3/1,1095062
CONPASS,3,2,CONPASS/3/2,1102178
